target	frequency
regex=[Ff][Ee][Ll][Ii][Cc][Ii][Dd][Aa][Dd]	428
felicidad	428

token	corpus size	all contexts size	frequency	co-frequency	specificity
la	9800	6267	607	504	26.17
da	9800	6267	41	40	6.61
el	9800	6267	266	199	4.45
sobre	9800	6267	38	35	4.21
de	9800	6267	465	330	3.72
ocio	9800	6267	15	15	2.92
brevedad	9800	6267	13	13	2.53
si	9800	6267	61	48	2.27
lo	9800	6267	96	71	1.99
búsqueda	9800	6267	19	17	1.96
otros	9800	6267	10	10	1.94
dinero	9800	6267	54	42	1.94
en	9800	6267	184	129	1.88
sólo	9800	6267	14	13	1.82
porque	9800	6267	18	16	1.81
social	9800	6267	9	9	1.75
que	9800	6267	441	294	1.71
es	9800	6267	205	141	1.69
concepto	9800	6267	8	8	1.55
sino	9800	6267	16	14	1.53
no	9800	6267	205	139	1.52
libertad	9800	6267	19	16	1.45
más	9800	6267	56	41	1.40
puede	9800	6267	15	13	1.39
relación	9800	6267	7	7	1.36
podría	9800	6267	7	7	1.36
alcanzar	9800	6267	7	7	1.36
muchos	9800	6267	7	7	1.36
mucha	9800	6267	7	7	1.36
y	9800	6267	253	165	1.31
está	9800	6267	21	17	1.30
a	9800	6267	146	98	1.29
su	9800	6267	27	21	1.27
país	9800	6267	10	9	1.19
d	9800	6267	6	6	1.17
pasaría	9800	6267	6	6	1.17
priorizara	9800	6267	6	6	1.17
ignorando	9800	6267	6	6	1.17
claro	9800	6267	6	6	1.17
verdadera	9800	6267	6	6	1.17
ocurren	9800	6267	6	6	1.17
paraíso	9800	6267	6	6	1.17
robe	9800	6267	6	6	1.17
perdona	9800	6267	6	6	1.17
se	9800	6267	104	69	1.14
te	9800	6267	37	27	1.13
cosas	9800	6267	13	11	1.13
uno	9800	6267	13	11	1.13
nuestra	9800	6267	13	11	1.13
tener	9800	6267	22	17	1.10
las	9800	6267	55	38	1.08
nos	9800	6267	44	31	1.06
implica	9800	6267	9	8	1.04
saber	9800	6267	9	8	1.04
arte	9800	6267	9	8	1.04
bien	9800	6267	18	14	1.01
laos	9800	6267	15	12	1.00
vida	9800	6267	47	32	0.98
con	9800	6267	62	40	0.98
arriba	9800	6267	5	5	0.97
básicamente	9800	6267	5	5	0.97
vale	9800	6267	5	5	0.97
serían	9800	6267	5	5	0.97
sociedad	9800	6267	5	5	0.97
dicen	9800	6267	5	5	0.97
justa	9800	6267	5	5	0.97
unos	9800	6267	5	5	0.97
consiste	9800	6267	5	5	0.97
única	9800	6267	5	5	0.97
dejar	9800	6267	5	5	0.97
eso	9800	6267	23	17	0.96
creo	9800	6267	20	15	0.94
del	9800	6267	46	30	0.92
satisfacción	9800	6267	14	11	0.90
buscar	9800	6267	8	7	0.90
todo	9800	6267	38	25	0.88
sé	9800	6267	16	12	0.84
posible	9800	6267	16	12	0.84
hay	9800	6267	29	19	0.82
hacer	9800	6267	18	13	0.81
algo	9800	6267	18	13	0.81
qué	9800	6267	26	17	0.79
feliz	9800	6267	25	16	0.78
sol	9800	6267	4	4	0.78
cantidad	9800	6267	4	4	0.78
habría	9800	6267	4	4	0.78
asunto	9800	6267	4	4	0.78
hombre	9800	6267	4	4	0.78
lleva	9800	6267	4	4	0.78
acerca	9800	6267	4	4	0.78
simplemente	9800	6267	4	4	0.78
buscando	9800	6267	4	4	0.78
tengo	9800	6267	4	4	0.78
algunos	9800	6267	4	4	0.78
real	9800	6267	4	4	0.78
parejas	9800	6267	4	4	0.78
menudo	9800	6267	4	4	0.78
instituto	9800	6267	4	4	0.78
dentro	9800	6267	4	4	0.78
científicos	9800	6267	4	4	0.78
amplio	9800	6267	4	4	0.78
tampoco	9800	6267	4	4	0.78
diario	9800	6267	4	4	0.78
llamó	9800	6267	4	4	0.78
parecía	9800	6267	4	4	0.78
directamente	9800	6267	4	4	0.78
ligada	9800	6267	4	4	0.78
sonrisas	9800	6267	4	4	0.78
guía	9800	6267	4	4	0.78
estaba	9800	6267	4	4	0.78
genuinamente	9800	6267	4	4	0.78
involucrado	9800	6267	4	4	0.78
hizo	9800	6267	4	4	0.78
pareciera	9800	6267	4	4	0.78
experiencia	9800	6267	4	4	0.78
medir	9800	6267	4	4	0.78
alternate	9800	6267	4	4	0.78
este	9800	6267	15	11	0.77
tan	9800	6267	23	15	0.77
esto	9800	6267	7	6	0.76
muchas	9800	6267	7	6	0.76
tema	9800	6267	19	13	0.75
yo	9800	6267	16	11	0.71
digo	9800	6267	9	7	0.69
ejemplo	9800	6267	9	7	0.69
siempre	9800	6267	9	7	0.69
difícil	9800	6267	9	7	0.69
muy	9800	6267	15	10	0.68
también	9800	6267	15	10	0.68
ya	9800	6267	15	10	0.68
mundo	9800	6267	13	9	0.67
nuestro	9800	6267	11	8	0.66
bienestar	9800	6267	11	8	0.66
esa	9800	6267	11	8	0.66
hace	9800	6267	11	8	0.66
estar	9800	6267	11	8	0.66
respecto	9800	6267	6	5	0.64
seres	9800	6267	6	5	0.64
aquí	9800	6267	6	5	0.64
tanto	9800	6267	6	5	0.64
interior	9800	6267	6	5	0.64
momentos	9800	6267	6	5	0.64
amigos	9800	6267	6	5	0.64
atención	9800	6267	6	5	0.64
materiales	9800	6267	6	5	0.64
aunque	9800	6267	6	5	0.64
chus	9800	6267	6	5	0.64
consumo	9800	6267	6	5	0.64
justicia	9800	6267	12	8	0.63
decir	9800	6267	11	7	0.61
tiene	9800	6267	11	7	0.61
mejor	9800	6267	11	7	0.61
así	9800	6267	11	7	0.61
nunca	9800	6267	11	7	0.61
haya	9800	6267	10	7	0.61
humano	9800	6267	8	6	0.60
pregunta	9800	6267	8	6	0.60
incluso	9800	6267	8	6	0.60
han	9800	6267	8	6	0.60
camino	9800	6267	8	6	0.60
nuestras	9800	6267	8	6	0.60
infeliz	9800	6267	8	6	0.60
definir	9800	6267	3	3	0.58
alguien	9800	6267	3	3	0.58
obtener	9800	6267	3	3	0.58
texto	9800	6267	3	3	0.58
experimenta	9800	6267	3	3	0.58
entorno	9800	6267	3	3	0.58
límites	9800	6267	3	3	0.58
temporal	9800	6267	3	3	0.58
menor	9800	6267	3	3	0.58
aspira	9800	6267	3	3	0.58
aclarar	9800	6267	3	3	0.58
ellos	9800	6267	3	3	0.58
espiritual	9800	6267	3	3	0.58
busca	9800	6267	3	3	0.58
alcanza	9800	6267	3	3	0.58
ti	9800	6267	3	3	0.58
ámbito	9800	6267	3	3	0.58
viene	9800	6267	3	3	0.58
personal	9800	6267	3	3	0.58
problema	9800	6267	3	3	0.58
llega	9800	6267	3	3	0.58
última	9800	6267	3	3	0.58
actual	9800	6267	3	3	0.58
buenos	9800	6267	3	3	0.58
malos	9800	6267	3	3	0.58
amargura	9800	6267	3	3	0.58
fuertes	9800	6267	3	3	0.58
peleas	9800	6267	3	3	0.58
