target	frequency
regex=[Bb][Oo][Nn][Hh][Ee][Uu][RrSs]?	1212
bonheur	1134
Bonheur	72
BONHEUR	5
bOnHeUR	1

token	corpus size	all contexts size	frequency	co-frequency	specificity
le	24995	15566	895	719	32.18
du	24995	15566	368	323	27.65
Le	24995	15566	211	198	26.13
Re	24995	15566	83	83	17.11
BUTTON	24995	15566	41	40	7.05
est	24995	15566	264	200	6.02
dents	24995	15566	46	43	5.94
À	24995	15566	28	28	5.76
quoi	24995	15566	63	55	5.12
mesure	24995	15566	34	32	4.68
t	24995	15566	38	35	4.55
Dents	24995	15566	22	22	4.53
Défintion	24995	15566	22	22	4.53
pour	24995	15566	250	184	4.39
définition	24995	15566	21	21	4.32
parles	24995	15566	20	20	4.12
pas	24995	15566	345	242	3.39
s	24995	15566	42	36	3.23
Qu'est	24995	15566	21	20	3.22
état	24995	15566	38	33	3.21
c'est	24995	15566	225	161	3.11
vivre	24995	15566	48	40	3.04
plutôt	24995	15566	14	14	2.88
d'esprit	24995	15566	14	14	2.88
vous	24995	15566	96	73	2.82
autres	24995	15566	41	34	2.61
j'ai	24995	15566	44	36	2.55
ne	24995	15566	188	133	2.49
c	24995	15566	57	45	2.49
perte	24995	15566	12	12	2.47
L'argent	24995	15566	12	12	2.47
joie	24995	15566	36	30	2.42
ce	24995	15566	224	156	2.40
aussi	24995	15566	35	29	2.30
qu'un	24995	15566	11	11	2.26
absolu	24995	15566	11	11	2.26
un	24995	15566	247	169	2.15
qu'est	24995	15566	19	17	2.11
au	24995	15566	93	68	2.10
La	24995	15566	40	32	2.08
de	24995	15566	898	581	2.06
Fichier	24995	15566	10	10	2.06
joint	24995	15566	10	10	2.06
on	24995	15566	168	117	2.05
��est	24995	15566	68	51	2.04
moi	24995	15566	106	76	1.98
accessible	24995	15566	14	13	1.95
malheur	24995	15566	32	26	1.93
commentaires	24995	15566	9	9	1.85
recherche	24995	15566	21	18	1.85
là	24995	15566	50	38	1.81
veut	24995	15566	17	15	1.80
plaisir	24995	15566	27	22	1.74
n'est	24995	15566	66	48	1.66
par	24995	15566	134	92	1.65
quête	24995	15566	16	14	1.65
que	24995	15566	474	306	1.65
sinon	24995	15566	8	8	1.65
mai	24995	15566	8	8	1.65
page	24995	15566	122	84	1.61
et	24995	15566	445	287	1.61
message	24995	15566	12	11	1.61
ils	24995	15566	12	11	1.61
n'existe	24995	15566	12	11	1.61
petit	24995	15566	22	18	1.53
text	24995	15566	120	82	1.53
vers	24995	15566	15	13	1.50
fait	24995	15566	85	59	1.44
Mon	24995	15566	7	7	1.44
notion	24995	15566	11	10	1.44
fr	24995	15566	65	46	1.42
existe	24995	15566	14	12	1.36
propre	24995	15566	17	14	1.32
possible	24995	15566	17	14	1.32
mon	24995	15566	63	44	1.31
l'on	24995	15566	23	18	1.29
tu	24995	15566	92	62	1.28
son	24995	15566	57	40	1.28
sur	24995	15566	110	73	1.27
une	24995	15566	201	126	1.24
jeune	24995	15566	6	6	1.23
P	24995	15566	6	6	1.23
véritable	24995	15566	6	6	1.23
imposer	24995	15566	6	6	1.23
liberté	24995	15566	6	6	1.23
plaisirs	24995	15566	6	6	1.23
commentaire	24995	15566	6	6	1.23
d'abord	24995	15566	6	6	1.23
car	24995	15566	31	23	1.22
peut	24995	15566	74	50	1.20
atteindre	24995	15566	16	13	1.20
§	24995	15566	60	41	1.17
seulement	24995	15566	9	8	1.11
rapport	24995	15566	9	8	1.11
