target	frequency
regex=[Ss][Zz][Cc][Zz][Ęę][Śś][Cc][Ii][Ee]|[Ss][Zz][Cc][Zz][Ęę][Śś][Cc][Ii][Aa]|[Ss][Zz][Cc][Zz][Ęę][Śś][Cc][Ii][Uu]|[Ss][Zz][Cc][Zz][Ęę][Śś][Cc][Ii][Ee][Mm]|[Ss][Zz][Cc][Zz][Ee][Ss][Cc][Ii][Ee]|[Ss][Zz][Cc][Zz][Ee][Ss][Cc][Ii][Aa]|[Ss][Zz][Cc][Zz][Ee][Ss][Cc][Ii][Uu]|[Ss][Zz][Cc][Zz][Ee][Ss][Cc][Ii][Ee][Mm]:?,?	1496
szczęście	587
szczęścia	388
szczescie	182
Szczęście	145
szczęściem	50
SZCZĘŚCIE	29
szczescia	26
Szczescie	25
szczęściu	20
Szczęściem	18
Szczęścia	10
szczesciem	10
Szczesciem	4
szczesciu	2

token	corpus size	all contexts size	frequency	co-frequency	specificity
Re	23416	14658	391	387	72.27
Poczucie	23416	14658	180	178	33.03
jest	23416	14658	460	375	18.61
daj�	23416	14658	117	112	16.76
dla	23416	14658	153	139	14.95
dzę	23416	14658	76	74	12.48
Odp	23416	14658	59	59	12.02
Pieni�	23416	14658	90	84	10.89
czym	23416	14658	79	73	8.99
Co	23416	14658	71	66	8.47
daje	23416	14658	75	69	8.31
to	23416	14658	564	412	7.55
text	23416	14658	100	87	7.42
Recepta	23416	14658	35	35	7.13
pl	23416	14658	57	53	6.91
page	23416	14658	100	86	6.85
przynosi	23416	14658	32	31	5.23
nas	23416	14658	87	72	4.65
Czym	23416	14658	21	21	4.27
post	23416	14658	31	29	4.09
mnie	23416	14658	140	106	3.50
napisa�	23416	14658	48	41	3.47
teletoobis	23416	14658	16	16	3.26
grzeczna	23416	14658	15	15	3.05
dziewczynka	23416	14658	15	15	3.05
oś	23416	14658	39	33	2.77
o	23416	14658	225	159	2.65
wam	23416	14658	18	17	2.63
Wam	23416	14658	12	12	2.44
figgin	23416	14658	12	12	2.44
nad	23416	14658	21	19	2.40
na	23416	14658	331	226	2.35
Zg�	23416	14658	39	32	2.31
Gość	23416	14658	11	11	2.24
Dla	23416	14658	27	23	2.14
was	23416	14658	15	14	2.10
nie	23416	14658	429	286	2.07
flegma	23416	14658	10	10	2.03
tyczka	23416	14658	10	10	2.03
czyjeś	23416	14658	10	10	2.03
lub	23416	14658	36	29	1.97
maja	23416	14658	22	19	1.96
u	23416	14658	29	24	1.94
mam	23416	14658	39	31	1.94
recepta	23416	14658	14	13	1.93
zasad	23416	14658	14	13	1.93
ID	23416	14658	14	13	1.93
samo	23416	14658	18	16	1.93
wyznacznik	23416	14658	9	9	1.83
tematy	23416	14658	9	9	1.83
dobra	23416	14658	9	9	1.83
trudno	23416	14658	9	9	1.83
galne	23416	14658	9	9	1.83
co	23416	14658	142	99	1.83
aaugustw	23416	14658	13	12	1.75
Link	23416	14658	27	22	1.70
mi	23416	14658	108	76	1.70
czegoś	23416	14658	20	17	1.68
prawdziwe	23416	14658	8	8	1.63
gle	23416	14658	8	8	1.63
uczuciowe	23416	14658	8	8	1.63
gogologog	23416	14658	8	8	1.63
roonya	23416	14658	8	8	1.63
jan	23416	14658	8	8	1.63
hus	23416	14658	8	8	1.63
stosie	23416	14658	8	8	1.63
pelnia	23416	14658	8	8	1.63
grzechu	23416	14658	8	8	1.63
addicted	23416	14658	8	8	1.63
innym	23416	14658	23	19	1.63
neojeriomina	23416	14658	12	11	1.59
Post	23416	14658	12	11	1.59
pisze	23416	14658	12	11	1.59
zale�	23416	14658	29	23	1.57
ich	23416	14658	22	18	1.51
moje	23416	14658	31	24	1.45
re	23416	14658	34	26	1.45
i	23416	14658	415	264	1.43
BUTTON	23416	14658	91	63	1.43
albo	23416	14658	7	7	1.42
tymon	23416	14658	7	7	1.42
simply	23416	14658	7	7	1.42
nocy	23416	14658	7	7	1.42
jeszcze	23416	14658	18	15	1.42
ego	23416	14658	11	10	1.42
by	23416	14658	27	21	1.36
yciu	23416	14658	36	27	1.36
naruszenie	23416	14658	14	12	1.34
naprawdę	23416	14658	17	14	1.30
kto	23416	14658	38	28	1.29
czy	23416	14658	85	58	1.29
SZCZĘŚCIE	23416	14658	29	22	1.27
ludzie	23416	14658	23	18	1.27
poczucie	23416	14658	26	20	1.27
IT	23416	14658	10	9	1.26
wnie�	23416	14658	10	9	1.26
widz�	23416	14658	10	9	1.26
a	23416	14658	203	127	1.24
wink	23416	14658	6	6	1.22
Jaka	23416	14658	6	6	1.22
owa	23416	14658	6	6	1.22
daja	23416	14658	6	6	1.22
największe	23416	14658	6	6	1.22
Prawdziwe	23416	14658	6	6	1.22
cieszę	23416	14658	6	6	1.22
powod	23416	14658	6	6	1.22
piataziuta	23416	14658	6	6	1.22
obrazy	23416	14658	6	6	1.22
